Type,Aromas,Compounds
Floral,"['elderflower', 'chamomile blossom', 'lily of the valley', 'jasmine', 'apple blossom', 'rose', 'geranium', 'carnation', 'lily', 'lilac', 'lavender', 'osmanthus.']","['rose oxide', 'geraniol', 'geraniol acetate', 'citronellol', 'neral']"
Citrus,"['grapefruit', 'orange', 'lime', 'lemon', 'bergamot', 'lemon grass', 'ginger', 'tangerine', 'pomelo']","['alpha-terpineol', 'limonene', 'linalool', 'citral', 'decanal']"
Tropical/Sweet Fruits,"['banana', 'watermelon', 'honeydew melon', 'peach', 'apricot', 'passion fruit', 'lychee', 'dried fruit', 'plum', 'pineapple', 'cherry', 'kiwi', 'mango', 'guava']","['2-methylpropyl hexanoate', 'ethyl 2-methylpropanoate', 'sec-amyl acetate', 'ethyl caproante', 'ethyl 3-methylbutanoate']"
Stone/Green Fruits,"['pear', 'apple', 'quince', 'gooseberry', 'white wine grapes']","['decanal', 'cis-3-dexenal', 'd-3-carene', '2-dodecanone', 'hexyl 2-methyl-propanoate']"
Berries & Currant,"['cassis', 'blueberry', 'raspberry', 'blackberry', 'strawberry', 'red currant', 'black currant', 'wild strawberry', 'cranberry', 'mulberry']","['beta ionone', '4-mercapto-4-methylpentan-2-one', 'ethyl 3-methylbutanoate', 'raspberry ketone', 'p-metha-8-thiol-3-one']"
Cream & Caramel,"['butter', 'chocolate', 'yogurt', 'honey', 'cream', 'caramel', 'toffee', 'coffee', 'tonka bean', 'vanilla', 'coconut']","['methyl decanoate', 'Y-nonalactone', 'vanillin', 'phenylacetic acid']"
Woody Aromatic,"['tobacco', 'cognac', 'barrique', 'leather', 'woodruff', 'incense', 'myrrh', 'resin', 'cedar', 'pine', 'earthy']","['humulene', 'alpha-pinene', 'beta-pinene', 'farnesene', 'carvacrol', 'beta-caryophyllene']"
Menthol,"['mint', 'lemon balm', 'sage', 'camphor', 'menthol', 'wine yeast', 'eucalyptus']","['carvone', 'terpinen-4-ol', 'camphene']"
Herbal,"['marjoram', 'tarragon', 'dill', 'parsley', 'basil', 'fennel', 'cilantro', 'rosemary', 'thyme', 'green tea', 'black tea', 'mate tea', 'oregano']","['myrcene', 'humulene', 'epoxide', 'p-cymene', 'cis-b-ocimene', 'thymol']"
Spicy,"['lovage', 'pepper', 'chili', 'curry', 'juniper', 'aniseed', 'licorice', 'fennel seeds', 'clove', 'cinnamon', 'gingerbread', 'coriander seeds', 'nutmeg']","['beta-caryophyllene', 'eugenol', '2-isopropyl-3-methoxypyrazine', 'beta-eudesmol']"
Grassy,"['fresh cut grass', 'hay', 'tomato leaves', 'green pepper', 'nettle', 'cucumber', 'bamboo leaves']","['E', 'Z-2', '6-nonadienal', 'cis-3-hexenol', 'trans-2-hexenal']"
Vegetal,"['celery', 'leek', 'onion', 'artichoke', 'garlic', 'wild garlic', 'radish']","['diallyl sulphide', 'dimethyl disulfide', 's-methylthiohexanoate']"
