Hop Name,Substitutions
Adeena,"['Hallertau Mittelfruh', 'Styrian Golding']"
Admiral,"['Target', 'Northdown', 'Challenger']"
African Queen,"['Amarillo', 'Cascade', 'Simcoe', 'Citra', 'Mosaic']"
Agnus,"['Magnum (US)', 'Nugget', 'Target', 'Columbus']"
Ahtanum,"['Amarillo', 'Cascade', 'Centennial', 'Willamette']"
Akoya,"['Perle (US)', 'Perle (GR)', 'Aurora', 'Hallertau Tradition', 'Northern Brewer (US)', 'Northern Brewer']"
Altus,['Apollo']
Amarillo,"['Cascade', 'Centennial', 'Chinook', 'Summer', 'Simcoe']"
Apollo,"['Magnum (US)', 'Magnum (GR)', 'Columbus', 'Tomahawk', 'Zeus', 'CTZ', 'Nugget']"
Aquila,"['Cluster', 'Galena']"
Aramis,"['Willamette', 'Challenger', 'Ahtanum', 'Centennial', 'Strisselspalt', 'EKG', 'Saaz (US)', 'Hallertau Mittelfruh']"
Ariana,"['Huell Melon', 'Mandarina Bavaria', 'Hallertau Blanc']"
Aurora,"['Styrian Golding', 'Perle', 'Northern Brewer (US)', 'Northern Brewer (GR)']"
Azacca,"['Amarillo', 'Citra', 'Delta', 'Pekko']"
Banner,"['Aquila', 'Cluster', 'Galena']"
Belma,"['Huell Melon', 'Pacific Gem']"
Bergamot,['XJA2-436']
Bianca,['Sunbeam']
Bitter Gold,"['Galena', 'Nugget']"
Boadicea,"['Green Bullet', 'Cascade', 'Chinook']"
Bobek,"['Fuggle', 'Styrian Golding', 'Willamette']"
Bramling Cross,"['East Kent Goldings', 'Bullion', 'Northern Brewer (US)', 'Northern Brewer (GR)', 'Galena']"
Bravo,"['Columbus', 'Tomahawk', 'Zeus', 'CTZ', 'Zeus', 'Chinook', 'Centennial', 'Nugget']"
Brewer's Gold (GR),"['Chinook', 'Galena', 'Nugget', ""Brewer's Gold (US)""]"
Brewer's Gold (US),"['Galena', ""Brewer's Gold"", 'Chinook', 'Galena', 'Nugget']"
Brooklyn,['Moutere']
Bullion,"['Brewers Gold', 'Northern Brewer (US)', 'Northern Brewer (GR)', 'Galena', 'Bramling Cross', 'Mount Ranier']"
Callista,"['Hallertau Tradition', 'Grungeist']"
Calypso,"['Galena', 'Cascade', 'Huell Melon', 'Belma']"
Canadian Redvine,"['Newport, Magnum, Galena, Cascade']"
Cascade,"['Amarillo', 'Centennial', 'Ahtanum', 'Summit']"
Cashmere,['Cascade']
Cekin,"['Styrian Golding', 'Brewers Gold', 'Aurora']"
Celeia,"['Styrian Golding', 'Bobek', 'Saaz (CZ)']"
Centennial,"['Cascade', 'Chinook', 'Columbus', 'Tomahawk', 'Zeus', 'CTZ', 'Amarillo']"
Challenger,"['Northern Brewer (US)', 'Northern Brewer (GR)', 'Perle (US)', 'Target', 'Northdown']"
Chelan,"['Galena', 'Nugget']"
Chinook,"['Nugget', 'Columbus', 'Tomahawk', 'Zeus', 'CTZ', 'Northern Brewer (US)', 'Galena']"
Citra,"['Simcoe', 'Mosaic', 'Centennial', 'Cascade']"
Cluster,"['Galena', 'Chinook', 'Eroica', 'Nugget']"
Columbia,"['Centennial', 'Chinook']"
Columbus,"['CTZ', 'Tomahawk', 'Zeus', 'Centennial', 'Chinook', 'Galena', 'Nugget', 'Millennium']"
Comet,"['Galena', 'Citra']"
Crystal,"['Mount Hood', 'Hersbrucker', 'Strisselspalt', 'Liberty', 'Ultra', 'Hallertau']"
CTZ,"['Columbus', 'Tomahawk', 'Zeus']"
Dana,"['Fuggle', 'Willamette']"
Delta,"['Fuggle', 'Willamette', 'Cascade']"
Dr. Rudi,['Green Bullet']
East Kent Goldings,"['Golding', 'Fuggle', 'Willamette']"
Ekuanot,"['Chinook', 'Summit', 'Galena', 'Cluster']"
El Dorado,"['Citra', 'Nelson Sauvin', 'Rakau']"
Ella,"['Perle (US)', 'Palisade', 'Galaxy']"
Endeavour,"['Bramling Cross', 'Pilgrim']"
Enigma,"['Nelson Sauvin', 'Hallertau Blanc']"
Equinox,['Ekuanot']
Eroica,"[""Brewer's Gold"", 'Chinook', 'Cluster', 'Galena', 'Nugget']"
