Hop Name,Alpha Acid % - Min,Alpha Acid % - Max,Alpha Acid % - Avg,Beta Acid % - Min,Beta Acid % - Max,Beta Acid % - Avg,Alpha-Beta Ratio - Min,Alpha-Beta Ratio - Max,Alpha-Beta Ratio - Avg,Co-Humulone as % of Alpha - Min,Co-Humulone as % of Alpha - Max,Co-Humulone as % of Alpha - Avg,Total Oils (mL/100g) - Min,Total Oils (mL/100g) - Max,Total Oils (mL/100g) - Avg,Myrcene - Min,Myrcene - Max,Myrcene - Avg,Humulene - Min,Humulene - Max,Humulene - Avg,Caryophyllene - Min,Caryophyllene - Max,Caryophyllene - Avg,Farnesene - Min,Farnesene - Max,Farnesene - Avg,Other Oils - Min,Other Oils - Max
Astra,7.0,10.0,8.5,4.0,6.0,5.0,1.0,3.0,2.0,26.0,28.0,27.0,1.0,3.0,2.0,,,,6.0,8.0,7.0,,,,,,,92.0,94.0
Eclipse,15.7,19.0,17.4,5.9,9.0,7.5,2.0,3.0,2.0,33.0,37.0,35.0,1.8,2.7,2.3,35.0,49.0,42.0,0.0,2.0,1.0,6.0,12.0,9.0,0.0,1.0,0.5,36.0,59.0
Ella,13.3,19.2,16.3,4.0,7.8,5.9,2.0,5.0,3.0,33.0,40.0,36.5,2.4,3.4,2.9,34.0,50.0,42.0,15.0,22.0,18.5,5.0,18.0,11.5,12.0,14.0,13.0,0.0,34.0
Enigma,13.5,19.4,16.5,4.5,7.1,5.8,2.0,4.0,3.0,37.0,43.0,40.0,1.8,3.0,2.4,23.0,30.0,26.5,12.0,19.0,15.5,6.0,8.0,7.0,9.0,12.0,10.5,31.0,50.0
Feux-Coeur Francais,12.0,16.0,14.0,3.1,6.0,4.6,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,
Galaxy,11.0,16.0,13.5,5.0,9.0,7.0,1.0,3.0,2.0,32.0,42.0,37.0,1.8,5.0,3.4,33.0,69.0,51.0,1.0,2.0,1.5,7.0,13.0,10.0,3.0,5.0,4.0,11.0,56.0
Helga,5.4,7.3,6.4,5.0,7.0,6.0,1.0,1.0,1.0,20.0,23.0,21.5,0.6,1.0,0.8,1.0,13.0,7.0,35.0,55.0,45.0,10.0,45.0,27.5,0.0,1.0,0.5,0.0,54.0
HPA-016,15.7,18.7,17.2,5.9,9.0,7.5,2.0,3.0,2.0,33.0,37.0,35.0,1.7,1.9,1.8,35.0,49.0,42.0,0.0,2.0,1.0,6.0,12.0,9.0,0.0,1.0,0.5,36.0,59.0
Melba,7.0,10.0,8.5,2.5,5.0,3.8,1.0,4.0,3.0,25.0,35.0,30.0,2.0,4.0,3.0,,,,,,,,,,,,,,
Pride of Ringwood,7.0,11.0,9.0,4.0,8.0,6.0,1.0,3.0,2.0,26.0,39.0,32.5,,,1.2,24.0,41.0,32.5,2.0,4.0,3.0,9.0,14.0,11.5,0.0,1.0,0.5,40.0,65.0
