,Hop Name,Substitutions
0,Adeena,"Hallertau Mittelfruh,  Styrian Golding"
1,Admiral,"Target,  Northdown,  Challenger"
2,African Queen,"Amarillo,  Cascade,  Simcoe,  Citra,  Mosaic"
3,Agnus,"Magnum (US),  Nugget,  Target,  Columbus"
4,Ahtanum,"Amarillo,  Cascade,  Centennial,  Willamette"
5,Akoya,"Perle (US),  Perle (GR),  Aurora,  Hallertau Tradition,  Northern Brewer (US),  Northern Brewer"
6,Altus,Apollo
7,Amarillo,"Cascade,  Centennial,  Chinook,  Summer,  Simcoe"
8,Apollo,"Magnum (US),  Magnum (GR),  Columbus,  Tomahawk,  Zeus,  CTZ,  Nugget"
9,Aquila,"Cluster,  Galena"
10,Aramis,"Willamette,  Challenger,  Ahtanum,  Centennial,  Strisselspalt,  EKG,  Saaz (US),  Hallertau Mittelfruh"
11,Ariana,"Huell Melon,  Mandarina Bavaria,  Hallertau Blanc"
12,Aurora,"Styrian Golding,  Perle,  Northern Brewer (US),  Northern Brewer (GR)"
13,Azacca,"Amarillo,  Citra,  Delta,  Pekko"
14,Banner,"Aquila,  Cluster,  Galena"
15,Belma,"Huell Melon,  Pacific Gem"
16,Bergamot,XJA2-436
17,Bianca,Sunbeam
18,Bitter Gold,"Galena,  Nugget"
19,Boadicea,"Green Bullet,  Cascade,  Chinook"
20,Bobek,"Fuggle,  Styrian Golding,  Willamette"
21,Bramling Cross,"East Kent Goldings,  Bullion,  Northern Brewer (US),  Northern Brewer (GR),  Galena"
22,Bravo,"Columbus,  Tomahawk,  Zeus,  CTZ,  Zeus,  Chinook,  Centennial,  Nugget"
23,Brewer's Gold (GR),"Chinook,  Galena,  Nugget,  Brewer's Gold (US)"
24,Brewer's Gold (US),"Galena,  Brewer's Gold,  Chinook,  Galena,  Nugget"
25,Brooklyn,Moutere
26,Bullion,"Brewers Gold,  Northern Brewer (US),  Northern Brewer (GR),  Galena,  Bramling Cross,  Mount Ranier"
27,Callista,"Hallertau Tradition,  Grungeist"
28,Calypso,"Galena,  Cascade,  Huell Melon,  Belma"
29,Canadian Redvine,"Newport, Magnum, Galena, Cascade"
30,Cascade,"Amarillo,  Centennial,  Ahtanum,  Summit"
31,Cashmere,Cascade
32,Cekin,"Styrian Golding,  Brewers Gold,  Aurora"
33,Celeia,"Styrian Golding,  Bobek,  Saaz (CZ)"
34,Centennial,"Cascade,  Chinook,  Columbus,  Tomahawk,  Zeus,  CTZ,  Amarillo"
35,Challenger,"Northern Brewer (US),  Northern Brewer (GR),  Perle (US),  Target,  Northdown"
36,Chelan,"Galena,  Nugget"
37,Chinook,"Nugget,  Columbus,  Tomahawk,  Zeus,  CTZ,  Northern Brewer (US),  Galena"
38,Citra,"Simcoe,  Mosaic,  Centennial,  Cascade"
39,Cluster,"Galena,  Chinook,  Eroica,  Nugget"
40,Columbia,"Centennial,  Chinook"
